id,x,y,timestamp,severity,speed_limit,weather,road_state
55308,130.325501834258,85.8898976114465,1414605300,1,0,7,5
55309,130.34657773725,85.9084631837739,1412056800,1,70,0,5
55310,130.33736001548,85.8863794396514,1410878100,1,50,0,0
55311,130.318243657279,85.8977855540467,1413071040,1,30,0,0
55312,130.302795716131,85.8719478616003,1413841800,1,0,7,5
55313,130.317127897752,85.8995128712514,1412764200,1,0,7,5
55314,130.341033134604,85.9381788863528,1414776300,1,0,7,5
55315,130.336227068037,85.8711306484561,1409841000,1,50,7,5
55316,130.298804219553,85.9202629215496,1413531000,1,30,0,0
55318,130.3200952893,85.9007797220766,1412158920,1,50,0,0
55319,130.300311077501,85.8802948665484,1412746800,1,50,7,5
55320,130.322588040833,85.8867223376509,1412797800,1,50,0,1
55321,130.314625723633,85.9047389559094,1414678800,1,0,7,5
55322,131.017141322532,85.4281289062416,1447927200,1,120,0,1
55323,131.124205162867,85.4817094520957,1447553520,1,0,0,1
55324,131.278783834414,85.3204989781461,1448477400,1,120,0,1
55325,131.101006473613,85.4600733644122,1447654800,1,0,0,0
55326,131.080017932398,85.4442005569696,1447175700,1,120,0,0
55327,131.259070287467,85.4768005664482,1446744600,1,0,0,0
55328,131.093923864578,85.4611940490492,1448107200,1,100,0,0
55329,131.166292582986,85.4574992879936,1446870600,1,70,0,1
55330,131.138713431617,85.5167265917903,1446293700,1,120,0,0
55331,131.117750356654,85.521448040563,1446959400,1,50,0,1
55332,131.258477463873,85.3390371965649,1446510240,1,120,0,0
55333,131.321781886632,85.4931036947337,1447976700,1,120,0,1
55334,131.107454300544,85.4685880010544,1448268300,1,100,0,0
55335,131.112433811094,85.5517445168472,1446392100,1,90,0,0
55336,131.163905146301,85.6821540279289,1446457500,1,120,0,0
55337,131.359301465544,85.1808545509756,1446456900,1,120,0,0
55338,131.590755324401,85.5883282712087,1447347000,1,120,0,0
55339,131.345282570227,85.4986711239993,1448528700,1,120,0,0
55340,130.42516858498,85.9480474608985,1413387180,1,0,7,5
55341,130.445677749997,85.8404429832024,1412699100,1,0,7,5
55342,130.420288166926,85.80555699141,1412068140,1,0,7,5
55343,130.454686482899,85.8627635660369,1410878460,1,0,7,5
55344,130.426124384227,85.9488896661675,1410453000,1,50,0,0
55345,130.4476646468,85.8368078283126,1409596200,1,0,7,5
55346,130.439944268817,85.8425710237812,1413206820,1,70,0,0
55347,130.421863695103,85.8819082675827,1411486380,1,50,0,0
55348,130.37322601934,85.9197184211281,1409948520,1,0,7,5
55349,130.477062580797,85.9395625630632,1410531840,1,50,0,0
55350,130.454337913276,85.8036745725491,1409722620,1,70,0,0
55351,130.445715022712,85.8304823304634,1415019600,1,0,7,5
55352,130.370254548708,85.9145402805575,1409994000,1,0,7,5
55353,130.451307931111,85.8255776038895,1410174600,1,50,0,0
55354,130.449533399104,85.9552000026661,1409721000,1,0,7,5
55356,130.390089516324,85.8376167978266,1415033940,1,70,1,1
55357,131.054569536706,85.3701822287736,1447947900,1,120,1,1
55358,130.412946271322,85.8906168303932,1412053800,1,0,7,5
55359,130.402409028103,85.8366121042816,1413438720,1,0,7,5
55360,130.486146411784,85.9333305159472,1410020520,1,50,0,0
55362,130.37910070433,85.8280191908161,1409598360,1,50,0,0
55363,130.362605739331,85.913051955575,1412014800,1,0,7,5
55364,130.4545507145,85.8230364413427,1411139460,1,50,0,0
55365,130.411963901162,85.8215612078739,1412899380,1,70,0,0
55366,130.443731606721,85.8334674107728,1414919700,1,50,0,0
55368,130.440147677067,85.8302441634272,1409628600,1,50,0,5
55369,131.494152642016,85.3659864481491,1447480200,1,120,0,0
55370,130.421979658663,85.8142002788634,1411911600,1,70,0,0
55371,130.422770626024,85.8136113260162,1412414220,1,70,0,0
55372,131.692288865443,85.3474916928851,1446753600,1,120,0,1
55374,130.388828163044,85.8385548424906,1410974100,1,70,0,0
55375,130.479051046277,85.8877058086664,1410546600,1,0,7,5
55376,130.428876792533,85.8154381529498,1414648500,1,0,7,5
55378,130.444155328355,85.9695875757604,1412332200,1,90,0,0
55379,130.396934280368,85.9880776726435,1409738940,1,50,0,0
55380,130.370259637453,85.9145812210629,1413439260,1,0,7,5
55381,130.434776388503,85.8329773166218,1411549200,1,50,1,1
55382,130.449429283181,85.9568676712177,1413625980,1,0,7,5
55383,130.487301907426,85.9321747447992,1413450780,1,0,7,5
55384,130.448569182668,85.8171487489168,1414083600,1,0,7,5
55385,131.613958558946,85.3673571740726,1446760200,1,120,1,1
55386,130.489900680202,85.9307620901508,1409763600,1,50,7,5
55387,130.463099762,85.9047036265593,1412451780,1,0,7,5
55388,130.368548276273,86.0129008694593,1412897820,1,90,0,0
55389,132.015836328477,85.7490751311296,1446822600,1,120,0,0
55390,131.812226945523,85.8132134591028,1448077200,1,120,0,0
55391,131.715063042202,85.7025923685481,1447548900,1,90,1,1
55393,131.873969844873,85.8318329215876,1448571000,1,120,0,1
55394,131.903995116205,85.7076706890446,1446760380,1,0,0,1
55396,131.880088147309,85.8353928689905,1447998600,1,120,0,0
55397,131.941511548942,85.7268185450898,1446461700,1,120,0,0
55398,131.933807380812,85.9371094436794,1447188900,3,120,1,1
55400,131.670864473742,85.7185770358884,1448039100,1,120,0,0
